min_empirical_q,yield_reads,yield_bases
0,1,5042
5,1,5042
10,1,5042
15,1,5042
20,1,5042
25,0,0
30,0,0
35,0,0
40,0,0
45,0,0
50,0,0
55,0,0
60,0,0
65,0,0
70,0,0
