min_empirical_q,yield_reads,yield_bases
0,1,5000
5,1,5000
10,1,5000
15,1,5000
20,1,5000
25,1,5000
30,1,5000
35,0,0
40,0,0
45,0,0
50,0,0
55,0,0
60,0,0
65,0,0
70,0,0
